code,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97
C105,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C106,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C107,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C108,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C109,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C1101T1106 & C12,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C1107,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C13,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C14,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C15,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C16,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C17,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C18,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C19,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C203,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C204,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C205,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C20A,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C20B,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C20C,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C21,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C22,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C235_6,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C23OTHER,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C241T243,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C244_5,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C25,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C26,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
C27,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,proxy_estimated,proxy_estimated,proxy_estimated,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed
